product_name,product_name_ar,category,subcategory,age_group,gender,description,description_ar,short_description,short_description_ar,selling_price_usd,compare_at_price_usd,price_varies,price_max_usd,currency,size_variations,color_variations,color_variations_ar,in_stock,stock_qty,is_new,is_featured,tags,status,handle,image_url,image_alt
Footed Overall,أوفرول برجلين,Apparel,Footed Overall,Newborn,Girls,"Adorable everyday wear that keeps your little one comfy from morning to nap time. A footed overall designed for newborns. Designed for girls. Available in sizes 0-3M, 3-6M, 6-9M — choose the right fit as baby grows. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.","لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم. أوفرول برجلين (تولوم) للمواليد الجدد. تصميم للبنات. متوفّر بقياسات 0-3M, 3-6M, 6-9M — اختاري القياس المناسب مع ما يكبر صغيرك. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.",Adorable everyday wear that keeps your little one comfy from morning to nap time.,لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم.,26.99,,FALSE,,USD,0-3M|3-6M|6-9M,,,TRUE,3,TRUE,FALSE,"Apparel, Newborn, Girls, New Arrival",Active,footed-overall,,Footed Overall - Miniyo
Footed Overall With Bonnet,أوفرول برجلين,Apparel,Footed Overall,Newborn,Girls,"Adorable everyday wear that keeps your little one comfy from morning to nap time. A footed overall designed for newborns. Designed for girls. Available in sizes 0-3M, 3-6M, 6-9M — choose the right fit as baby grows. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.","لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم. أوفرول برجلين (تولوم) للمواليد الجدد. تصميم للبنات. متوفّر بقياسات 0-3M, 3-6M, 6-9M — اختاري القياس المناسب مع ما يكبر صغيرك. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.",Adorable everyday wear that keeps your little one comfy from morning to nap time.,لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم.,24.99,,FALSE,,USD,0-3M|3-6M|6-9M,,,TRUE,4,TRUE,FALSE,"Apparel, Newborn, Girls, New Arrival",Active,footed-overall-with-bonnet,,Footed Overall With Bonnet - Miniyo
5-Piece Newborn Gift Set,طقم ٥ قطع للمولود,Set,5-piece Newborn Set,Newborn,Girls,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match. This 5-piece newborn set comes as a coordinated set — great value and an easy gift. Designed for girls. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك. هيدا طقم ٥ قطع للمولود منسّق، قيمة حلوة وهدية سهلة. تصميم للبنات. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك.,43.99,,FALSE,,USD,,,,TRUE,3,TRUE,FALSE,"Set, Newborn, Girls, New Arrival, Gift Set",Active,5-piece-newborn-gift-set,,5-Piece Newborn Gift Set - Miniyo
5-Piece Newborn Set,طقم ٥ قطع للمولود,Set,5-piece Newborn Set,Newborn,Girls,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match. This 5-piece newborn set comes as a coordinated set — great value and an easy gift. Designed for girls. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك. هيدا طقم ٥ قطع للمولود منسّق، قيمة حلوة وهدية سهلة. تصميم للبنات. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك.,40.99,,FALSE,,USD,,,,TRUE,1,TRUE,FALSE,"Set, Newborn, Girls, New Arrival, Gift Set",Active,5-piece-newborn-set,,5-Piece Newborn Set - Miniyo
5-Piece Newborn Set,طقم ٥ قطع للمولود,Set,5-piece Newborn Set,Newborn,Girls,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match. This 5-piece newborn set comes as a coordinated set — great value and an easy gift. Designed for girls. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك. هيدا طقم ٥ قطع للمولود منسّق، قيمة حلوة وهدية سهلة. تصميم للبنات. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك.,35.99,,FALSE,,USD,,,,TRUE,2,TRUE,FALSE,"Set, Newborn, Girls, New Arrival, Gift Set",Active,5-piece-newborn-set-2,,5-Piece Newborn Set - Miniyo
Streamlined Salopette Set,طقم سالوبيت,Apparel,Salopette Set,Baby,Unisex,"Adorable everyday wear that keeps your little one comfy from morning to nap time. A salopette set designed for babies. Unisex design suits any little one. Available in sizes 3-6M, 6-9M, 9-12M — choose the right fit as baby grows. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.","لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم. هيدا طقم سالوبيت منسّق، قيمة حلوة وهدية سهلة. تصميم مناسب للبنت والصبي. متوفّر بقياسات 3-6M, 6-9M, 9-12M — اختاري القياس المناسب مع ما يكبر صغيرك. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.",Adorable everyday wear that keeps your little one comfy from morning to nap time.,لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم.,33.99,,FALSE,,USD,3-6M|6-9M|9-12M,,,TRUE,3,TRUE,FALSE,"Apparel, Baby, New Arrival, Gift Set",Active,streamlined-salopette-set,,Streamlined Salopette Set - Miniyo
Penolope Footed Overall,أوفرول برجلين,Apparel,Footed Overall,Baby,Unisex,"Adorable everyday wear that keeps your little one comfy from morning to nap time. A footed overall designed for babies. Unisex design suits any little one. Available in sizes 12-18M, 18-24M, 6-9M, 9-12M — choose the right fit as baby grows. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.","لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم. أوفرول برجلين (تولوم) للبيبيهات. تصميم مناسب للبنت والصبي. متوفّر بقياسات 12-18M, 18-24M, 6-9M, 9-12M — اختاري القياس المناسب مع ما يكبر صغيرك. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.",Adorable everyday wear that keeps your little one comfy from morning to nap time.,لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم.,26.99,,FALSE,,USD,6-9M|9-12M|12-18M|18-24M,,,TRUE,5,TRUE,FALSE,"Apparel, Baby, New Arrival",Active,penolope-footed-overall,,Penolope Footed Overall - Miniyo
Crispy Flower 2-Piece Set,طقم قطعتين,Apparel,2-piece Set,Baby,Girls,"Adorable everyday wear that keeps your little one comfy from morning to nap time. This 2-piece set comes as a coordinated set — great value and an easy gift. Designed for girls. Available in sizes 0-3M, 3-6M, 6-9M, 9-12M — choose the right fit as baby grows. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.","لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم. هيدا طقم قطعتين منسّق، قيمة حلوة وهدية سهلة. تصميم للبنات. متوفّر بقياسات 0-3M, 3-6M, 6-9M, 9-12M — اختاري القياس المناسب مع ما يكبر صغيرك. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.",Adorable everyday wear that keeps your little one comfy from morning to nap time.,لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم.,28.99,,FALSE,,USD,0-3M|3-6M|6-9M|9-12M,,,TRUE,4,TRUE,FALSE,"Apparel, Baby, Girls, New Arrival, Gift Set",Active,crispy-flower-2-piece-set,,Crispy Flower 2-Piece Set - Miniyo
Newborn 2-Piece Overall Set,طقم قطعتين,Apparel,2-piece Set,Newborn,Boys,"Adorable everyday wear that keeps your little one comfy from morning to nap time. This 2-piece set comes as a coordinated set — great value and an easy gift. Designed for boys. Available in sizes 0-3M, 3-6M, 6-9M — choose the right fit as baby grows. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.","لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم. هيدا طقم قطعتين منسّق، قيمة حلوة وهدية سهلة. تصميم للصبيان. متوفّر بقياسات 0-3M, 3-6M, 6-9M — اختاري القياس المناسب مع ما يكبر صغيرك. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.",Adorable everyday wear that keeps your little one comfy from morning to nap time.,لبس ناعم ومريح يخلّي صغيرك مرتاح من الصبح لوقت النوم.,26.99,,FALSE,,USD,0-3M|3-6M|6-9M,,,TRUE,3,TRUE,FALSE,"Apparel, Newborn, Boys, New Arrival, Gift Set",Active,newborn-2-piece-overall-set,,Newborn 2-Piece Overall Set - Miniyo
Newborn 10-Piece Boy Set,طقم ١٠ قطع,Set,10-piece Set,Newborn,Boys,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match. This 10-piece set comes as a coordinated set — great value and an easy gift. Designed for boys. Soft, breathable cotton-blend fabric. Machine wash cold, gentle cycle. Imported from Turkey.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك. هيدا طقم ١٠ قطع منسّق، قيمة حلوة وهدية سهلة. تصميم للصبيان. قماش قطن ناعم وبيتنفّس. غسيل بمي باردة على دورة خفيفة. مستورد من تركيا.,"A complete, ready-to-gift set — beautifully coordinated so you don't have to mix and match.",طقم كامل ومنسّق، جاهز كهدية حلوة وما بدّك تجمّع القطع لحالك.,98.99,,FALSE,,USD,,,,TRUE,1,TRUE,FALSE,"Set, Newborn, Boys, New Arrival, Gift Set",Active,newborn-10-piece-boy-set,,Newborn 10-Piece Boy Set - Miniyo
